"List of plants for all fuels, South Atlantic (total), all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvo&geo=0g&sec=g&freq=A&datecode=2023&rtype=s&start=2020&end=2025&ctype=columnchart&ltype=pin&columnendpoints=2&pin=&rse=0&maptype=0"
"Sun Aug 02 2026 18:32:39 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"1001 Ebenezer Church Solar",63444,"NC","Electric utility non-cogen","PV","SUN"
"1008 Matthews Solar",63447,"NC","Electric utility non-cogen","PV","SUN"
"1009 Yadkin Solar",63445,"NC","Electric utility non-cogen","PV","SUN"
"1025 Traveller Solar, LLC",62660,"NC","Electric utility non-cogen","PV","SUN"
"1034 Catherine Lake Solar, LLC",64478,"NC","Electric utility non-cogen","PV","SUN"
"1045 Tomlin Mill Solar",63448,"NC","Electric utility non-cogen","PV","SUN"
"1047 Little Mountain Solar, LLC",62661,"NC","Electric utility non-cogen","PV","SUN"
"1051 Lucky Solar, LLC",64271,"NC","Electric utility non-cogen","PV","SUN"
"1073 Onslow Solar",63446,"NC","Electric utility non-cogen","PV","SUN"
"1634 Solar",61935,"SC","Electric utility non-cogen","PV","SUN"
"231 Dixon 74 Solar I, LLC",61195,"NC","Electric utility non-cogen","PV","SUN"
"232 Long Branch 29 Solar I, LLC",63296,"NC","Electric utility non-cogen","PV","SUN"
"233 Randolph 74 Solar I, LLC",65819,"NC","Electric utility non-cogen","PV","SUN"
"315 Vinson Road",63979,"NC","Electric utility non-cogen","PV","SUN"
"4Oaks",59534,"NC","Electric utility non-cogen","PV","SUN"
"510 REPP One",57363,"NC","Electric utility non-cogen","PV","SUN"
"6685 Santa Barbara Ct",64343,"MD","Electric utility non-cogen","PV","SUN"
"7448 Candlewood Road",64502,"MD","Commercial non-cogen","PV","SUN"
"99 Islands",3272,"SC","Electric utility","HY","WAT"
"ABD Farms",61525,"NC","Electric utility non-cogen","PV","SUN"
